Trig,Prob,,,,Heirarchy Levels,,highlighted yellow means needs formal review,,,,,,,
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_iHLY8vR5txzwjzpxHNJ4e,10f,_iHLY8vR5txzwjzpxHNJ4e,,,,77. BA-Basics - Factor rational expression; GCF of x in denominator,,,,,_1Kef4tjzgHgPbjkessZ24,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_1Kef4tjzgHgPbjkessZ24
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_eJEzGfu8omZcOoOwbjgAP,10f,_eJEzGfu8omZcOoOwbjgAP,,,,78. BA-Basics - Factor rational expression; denominator is a difference of squares,,,,,_8ivRXtEXfjlpGzcXiGshs,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_8ivRXtEXfjlpGzcXiGshs
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_ug7yXQ5hJaCbkM3dhpFGz,10f,_ug7yXQ5hJaCbkM3dhpFGz,,,,"79. BA-Basics - Factor rational expression; constant GCF in numerator, denominator is a difference of squares",,,,,_s1sPnitjB1DqfXXEIVfNf,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_s1sPnitjB1DqfXXEIVfNf
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_4cBDFHkpGQ5xcliOrHtos,10f,_4cBDFHkpGQ5xcliOrHtos,,,,80. BA-Basics - Factor rational expression; numerator is cubic with GCF of x,,,,,_xYXmhL0IXOTbJ1scrx91o,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_xYXmhL0IXOTbJ1scrx91o
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_uvIPz5Zltw7cOQL6Y9DkX,10f,_uvIPz5Zltw7cOQL6Y9DkX,,,,81. BA-Basics - Factor rational expression; constant GCF in numerator,,,,,_Bva55rPTCN1O273ImW4qV,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Bva55rPTCN1O273ImW4qV
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_Osxd5RP5EgQeGZ5BIxgd6,10f,_Osxd5RP5EgQeGZ5BIxgd6,,,,"82. BA-Basics - Factor rational expression; constant GCF in numerator, all terms positive",,,,,_tSi8fNToKiiDM6Y1cunSu,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_tSi8fNToKiiDM6Y1cunSu
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_0zNgOGtztBMeyzn4RGDBH,10f,_0zNgOGtztBMeyzn4RGDBH,,,,"83. BA-Basics - Factor rational expression; numerator has GCF of x, all positive terms",,,,,_akQ5ZiOF6zkIizlezxg96,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_akQ5ZiOF6zkIizlezxg96
Midpoint and distance formulas,https://www.doenet.org/portfolioeditor/_w7THP71YLAtwSkqC9Bx6o,4b,_w7THP71YLAtwSkqC9Bx6o,,,,"84. BA-Basics - The distance formula, exact response",,,,,_hUDGVD7SopeJvfoNmpFkj,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_hUDGVD7SopeJvfoNmpFkj
Midpoint and distance formulas,https://www.doenet.org/portfolioeditor/_rGx1VqUlOPGyq4F2Q26Hw,4b,_rGx1VqUlOPGyq4F2Q26Hw,,,,"85. BA-Basics - The distance formula, decimal response",,,,,_sllFQBajo0hmuAnx4tEXK,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_sllFQBajo0hmuAnx4tEXK
#N/A,,,,,,,Problem 86: BA-Basics,,,,,_3HBHwSlkax7mMe91vH6Eq,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3HBHwSlkax7mMe91vH6Eq
Factoring: common factors,https://www.doenet.org/portfolioeditor/_RLXv1UFUJ1bGEgjAZAtjc,5a,_RLXv1UFUJ1bGEgjAZAtjc,,,,Problem 87: BA-Basics - Simplify the product of two rational expressions,,,,,_VCwXurkZUPTl3xzWpplAZ,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_VCwXurkZUPTl3xzWpplAZ
Isolating variables,https://www.doenet.org/portfolioeditor/_b4q79aL3Gak77TYB3zNgh,1g,_b4q79aL3Gak77TYB3zNgh,,,,"88: BA-Basics - Simplify an expression with multiple variables to solve for x, y, or z",,,,,_jBDXfMhRAqe1YBachBOEi,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_jBDXfMhRAqe1YBachBOEi
Isolating variables,https://www.doenet.org/portfolioeditor/_3buUGrSaF1faBWa3orQ4E,1g,_3buUGrSaF1faBWa3orQ4E,,,,89: BA-Basics - Simplify an expression with multiple variables to solve for one variable; selected variable in denominator,,,,,_5UDipDrWhNulpiNcKHRCn,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_5UDipDrWhNulpiNcKHRCn
Simplifying,https://www.doenet.org/portfolioeditor/_8qIX7o3RLVqAUBz4A4Ene,15a,_8qIX7o3RLVqAUBz4A4Ene,,,,Problem 90: BA-Basics - Simplify a quotient of complex fractions,,,,,_Q60Lvod1KI2m3qI57wByD,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Q60Lvod1KI2m3qI57wByD
"Rational expressions: add, subtract",https://www.doenet.org/portfolioeditor/_YhJqOKnCl7oQsbIK0QJLF,10e,_YhJqOKnCl7oQsbIK0QJLF,,,,91. BA-Basics - Add two rational expressions; numerators are constants,,,,,_cGvsrL4xh4VR2zlWflb4C,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_cGvsrL4xh4VR2zlWflb4C
"Rational expressions: add, subtract",https://www.doenet.org/portfolioeditor/_4oBAviCAAI0evn0JtfvCm,10e,_4oBAviCAAI0evn0JtfvCm,,,,92. BA-Basics - Subtract two rational expressions; numerators are constants,,,,,_FsVaLwBORx81FxSybRcfz,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_FsVaLwBORx81FxSybRcfz
"Rational expressions: add, subtract",https://www.doenet.org/portfolioeditor/_jxeaa9poqnY3Asmhgv7IR,10e,_jxeaa9poqnY3Asmhgv7IR,,,,93. BA-Basics - Add two rational expressions; one numerator is a binomial,,,,,_K5jlyHKWogv4weaxFFpap,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_K5jlyHKWogv4weaxFFpap
"Rational expressions: add, subtract",https://www.doenet.org/portfolioeditor/_6bfn9UXFGvrg8KaSD71E6,10e,_6bfn9UXFGvrg8KaSD71E6,,,,94. BA-Basics - Subtract two rational expressions; one numerator is a binomial,,,,,_Oo3NWXbLixxNcRnl3agEn,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Oo3NWXbLixxNcRnl3agEn
"Rational expressions: add, subtract",https://www.doenet.org/portfolioeditor/_g51btg7bUdxbsWrKp6gVd,10e,_g51btg7bUdxbsWrKp6gVd,,,,95. BA-Basics - Sum a binomial and an algebraic fraction,,,,,_oNHcwzZcd9SK1e60jJKe4,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_oNHcwzZcd9SK1e60jJKe4
"Rational expressions: add, subtract",https://www.doenet.org/portfolioeditor/_Pgf084bBeQqDpaF9qIFKp,10e,_Pgf084bBeQqDpaF9qIFKp,,,,96. BA-Basics - Difference of a binomial and an algebraic fraction,,,,,_Z5VlD21hG7y5zBEYURnXP,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Z5VlD21hG7y5zBEYURnXP
"Rational expressions: add, subtract",https://www.doenet.org/portfolioeditor/_uFg04utiRjVSD2n6QzqfQ,10e,_uFg04utiRjVSD2n6QzqfQ,,,,97. BA-Basics - Add two rational expressions; both contain binomials,,,,,_P7pOuEjzQMw0ZDKEFFBFT,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_P7pOuEjzQMw0ZDKEFFBFT
"Rational expressions: add, subtract",https://www.doenet.org/portfolioeditor/_d1wJdV0IW7qLo8oAR4fkI,10e,_d1wJdV0IW7qLo8oAR4fkI,,,,98. BA-Basics - Subtract two rational expressions; both contain binomials,,,,,_XMlxJT8wr1xv1nAZ473TW,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_XMlxJT8wr1xv1nAZ473TW
#N/A,,,,,,,Problem 99: BA-Basics,,,,,_YEpidBJCdSTTNB4S4QOJ0,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_YEpidBJCdSTTNB4S4QOJ0
#N/A,,,,,,,Problem 100: BA-Basics,,,,,_Q2Pa85pDCYIb0BYFdf3q5,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Q2Pa85pDCYIb0BYFdf3q5
#N/A,,,,,,,Problem 101: BA-Basics,,,,,_cCOedIKM8mfX2QRarIblM,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_cCOedIKM8mfX2QRarIblM
#N/A,,,,,,,Problem 102: BA-Basics,,,,,_1jNBHHoSF6JptjbaAZQbM,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_1jNBHHoSF6JptjbaAZQbM
#N/A,,,,,,,Problem 103: BA-Basics,,,,,_mllLRd2uBePHhIqZNvcSL,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_mllLRd2uBePHhIqZNvcSL
#N/A,,,,,,,Problem 104: BA-Basics,,,,,_Agh4rY8lhq8D7XbFEQart,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Agh4rY8lhq8D7XbFEQart
#N/A,,,,,,,Problem 105: BA-Basics,,,,,_lUoNdfZOYP5K7AkWdX5nW,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_lUoNdfZOYP5K7AkWdX5nW
#N/A,,,,,,,Problem 106: BA-Basics,,,,,_UF8jTNf48UujVQ7pF3ifx,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_UF8jTNf48UujVQ7pF3ifx
#N/A,,,,,,,Problem 107: BA-Basics,,,,,_95zGUX7JZE6K7gXFv3QOL,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_95zGUX7JZE6K7gXFv3QOL
#N/A,,,,,,,Problem 108: BA-Basics,,,,,_W83pzGflelY28zeFW3unr,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_W83pzGflelY28zeFW3unr
#N/A,,,,,,,Problem 109: BA-Basics,,,,,_F39VL8C9blnSg9xrBvbrY,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_F39VL8C9blnSg9xrBvbrY
#N/A,,,,,,,Problem 110: BA-Basics,,,,,_VMNb9X2zBuTDd0kaxQjrf,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_VMNb9X2zBuTDd0kaxQjrf
#N/A,,,,,,,Problem 111: BA-Basics,,,,,_ods4o6q48Rkam2bUj6fK2,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_ods4o6q48Rkam2bUj6fK2
Properties of rational exponents and radicals,https://www.doenet.org/portfolioeditor/_rdUnti2eRm00by3OVGeVC,3b,_rdUnti2eRm00by3OVGeVC,,,,112. BA-Basics - Simplify the product of two square roots,,,,,_gMEvxrUFcw3WZ2tCnhA0H,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_gMEvxrUFcw3WZ2tCnhA0H
Properties of rational exponents and radicals,https://www.doenet.org/portfolioeditor/_aIgkvqWFrDWTLKaW8u0fZ,3b,_aIgkvqWFrDWTLKaW8u0fZ,,,,113. BA-Basics - Difference of terms involving square roots,,,,,_6tYXzn1h4cI7WrBoYePwW,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_6tYXzn1h4cI7WrBoYePwW
Properties of rational exponents and radicals,https://www.doenet.org/portfolioeditor/_Mh4vQtjqtDmnC9pijkNBP,3b,_Mh4vQtjqtDmnC9pijkNBP,,,,114: BA-Basics - Simplify a ratio of square root terms,,,,,_VBAZNMH8lVkPO4MxEZEes,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_VBAZNMH8lVkPO4MxEZEes
#N/A,,,,,,,Problem 115: BA-Basics,,,,,_hgwxFqAmrfTzxXVOaoSVu,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_hgwxFqAmrfTzxXVOaoSVu
#N/A,,,,,,,Problem 116: BA-Basics,,,,,_5s5dHVcBJzaP8tfab3r6X,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_5s5dHVcBJzaP8tfab3r6X
#N/A,,,,,,,Problem 117: BA-Basics,,,,,_DJw3w1h5fdPdI6A0njvdw,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_DJw3w1h5fdPdI6A0njvdw
#N/A,,,,,,,Problem 118: BA-Basics,,,,,_LkjMfPKo1cRoeb3t8g2Xq,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_LkjMfPKo1cRoeb3t8g2Xq
Properties of rational exponents and radicals,https://www.doenet.org/portfolioeditor/_6gbGlmq62BSUR1BuZiHuh,3b,_6gbGlmq62BSUR1BuZiHuh,,,,Problem 119: BA-Basics - True or False; simplifying an expression under a square root,,,,,_w7yt21oDZ98uZWuDIrw5u,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_w7yt21oDZ98uZWuDIrw5u
#N/A,,,,,,,Problem 120: BA-Basics,,,,,_NsxabBkp1DZ68W0xn8Mw3,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_NsxabBkp1DZ68W0xn8Mw3
Properties of exponents,https://www.doenet.org/portfolioeditor/_Q5QAmkLcW9Kyrwl0oynmZ,3a,_Q5QAmkLcW9Kyrwl0oynmZ,,,,Problem 131: BA-Basics - Simplify a rational expression involving variable exponents,,,,,,,
Factoring by grouping,https://www.doenet.org/portfolioeditor/_Z6oXYLMGzN0PRserkTStG,5b,_Z6oXYLMGzN0PRserkTStG,,,,145. BA-Basics - Factor a quadratic by grouping,,,,,,,
#N/A,,,,,,,BA-Lines,,,,,_gTMKPJY2lEMqtuD7nxooF,,https://www.doenet.org/courseactivityeditor//_gTMKPJY2lEMqtuD7nxooF
Applications and models,https://www.doenet.org/portfolioeditor/_nVm6oUrkdLMTh7KOHkeY3,8k,_nVm6oUrkdLMTh7KOHkeY3,,,,1. BA-Lines: Population growth of a city,,3,,,_gG3ZTJAkY4HrRpM69hlge,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_gG3ZTJAkY4HrRpM69hlge
Equations of lines: slope-intercept form,https://www.doenet.org/portfolioeditor/_5uWVdwfCbNYMF9LgVsruP,8c,_5uWVdwfCbNYMF9LgVsruP,,,,3. BA-Lines: Write equation in slope-intercept form given slope and y-intercept,,,,,_FFXeepaZXDIKYcDiIlxah,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_FFXeepaZXDIKYcDiIlxah
Graphs of lines,https://www.doenet.org/portfolioeditor/_KO9Qpr9OLykpD2iVQyn1h,8j,_KO9Qpr9OLykpD2iVQyn1h,,,,4. BA-Lines - Find x and y-intercepts (version 1),1,,,,_v7qteiQX4TdbT6SIVxM7c,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_v7qteiQX4TdbT6SIVxM7c
Graphs of lines,https://www.doenet.org/portfolioeditor/_Rb0sQVi5e491lwIBbECRg,8j,_Rb0sQVi5e491lwIBbECRg,,,,5. BA-Lines - Find x and y-intercepts (version 2),2,,,,_YbNas0BkbliMeCcbIQpXc,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_YbNas0BkbliMeCcbIQpXc
Linear equations,https://www.doenet.org/portfolioeditor/_YxxRMJyo2qTRavrMfjiXQ,"8h, 13a",_YxxRMJyo2qTRavrMfjiXQ,,,,6. BA-Lines - Find point of intersection of two lines,,,,,_8tjH0gnN7f66tArN8rmwd,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_8tjH0gnN7f66tArN8rmwd
Equations of lines: slope-intercept form,https://www.doenet.org/portfolioeditor/_bJNq13pLwo6XglwV3fRtU,8c,_bJNq13pLwo6XglwV3fRtU,,,,"7. BA-Lines - Given general form, rewrite equation in slope-intercept form",,,,,_0qklVsY1YZmz2Dp7mlQEs,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_0qklVsY1YZmz2Dp7mlQEs
Equations of lines: slope-intercept form,https://www.doenet.org/portfolioeditor/_CtT3QCp8rPD1Zl02ppt1L,8c,_CtT3QCp8rPD1Zl02ppt1L,,,,8. BA-Lines: Write equation in slope-intercept form given through-pt and slope,,,,,_nhMCAXDWJEsyaWamctTxI,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_nhMCAXDWJEsyaWamctTxI
Parallel and perpendicular lines,https://www.doenet.org/portfolioeditor/_yQHqxR8sqNmZuqb92aYqM,8b,_yQHqxR8sqNmZuqb92aYqM,,,,9: BA-Lines - Find value of k that makes two lines parallel,,,,,_nnWZ8LdUOhTRwhwSbVKQt,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_nnWZ8LdUOhTRwhwSbVKQt
Equations of lines: slope-intercept form,https://www.doenet.org/portfolioeditor/_7kliNiD7p145fgwYiGK7M,8c,_7kliNiD7p145fgwYiGK7M,,,,10. BA-Lines - Write equation in slope-intercept form given two points,,,,,_AiMc7Nbk6rQksmkvd5HPC,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_AiMc7Nbk6rQksmkvd5HPC
Linear functions,https://www.doenet.org/portfolioeditor/_FfvtGW45uuozMMGsRELgh,8g,_FfvtGW45uuozMMGsRELgh,,,,13. BA-Lines - Determine linear function given two function values,,,,,_QG4tVYQFq4RM1QXGvqFzX,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_QG4tVYQFq4RM1QXGvqFzX
Parallel and perpendicular lines,https://www.doenet.org/portfolioeditor/_BQqwAoIeYSfswxQ5Ig2MA,8b,_BQqwAoIeYSfswxQ5Ig2MA,,,,14: BA-Lines - Find value of k that makes two lines perpendicular,,,,,_CrwloBcGjlsFyijO8LPdU,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_CrwloBcGjlsFyijO8LPdU
Equations of lines: slope-intercept form,https://www.doenet.org/portfolioeditor/_d4zeZ8FLSChEmb9DszP9c,8c,_d4zeZ8FLSChEmb9DszP9c,,,,15: BA-Lines - Write equation in slope-intercept form given through-pt and parallel line,,,,,_2P7h4BVekHjR97ONzU2sc,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_2P7h4BVekHjR97ONzU2sc
Equations of lines: slope-intercept form,https://www.doenet.org/portfolioeditor/_MySNXHUnJPubXUgW6C15B,8c,_MySNXHUnJPubXUgW6C15B,,,,16: BA-Lines - Write equation in slope-intercept form given through-pt and perpendicular line,,,,,_Ca6ZKu0AN7fxljIJ0DvTH,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_Ca6ZKu0AN7fxljIJ0DvTH
Linear equations,https://www.doenet.org/portfolioeditor/_3wIxxgtMYBo6OVpvc6i9S,8h,_3wIxxgtMYBo6OVpvc6i9S,,,,17. BA-Lines: Solve linear equation for x,,asics,,,_LCOMmybOvHqyEL1nIvUkC,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_LCOMmybOvHqyEL1nIvUkC
Solving equations with absolute values,https://www.doenet.org/portfolioeditor/_oyursYxdvW05eQFF99Foq,2a,_oyursYxdvW05eQFF99Foq,,,,18. BA-Lines - Solve absolute value equation for x (version 1),1,,,,_wmrgp5WM1Y0LsgmJvBdYr,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_wmrgp5WM1Y0LsgmJvBdYr
Solving equations with absolute values,https://www.doenet.org/portfolioeditor/_6GQYsZKZiq0hzTZp9XvBe,2a,_6GQYsZKZiq0hzTZp9XvBe,,,,19. BA-Lines - Solve absolute value equation for x (version 2),2,,,,_s0iawZLxcoupRFbiNr8pp,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_s0iawZLxcoupRFbiNr8pp
#N/A,,,,,,,20. BA-Lines - Solve absolute value equation for x (version 3),3,,,,_Nuqz9vAOAJEwH68eAntiX,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_Nuqz9vAOAJEwH68eAntiX
#N/A,,,,,,,Problem 21: BA-Lines,,,,,_jW8knEPpIMfIPXTGjQErt,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_jW8knEPpIMfIPXTGjQErt
Parallel and perpendicular lines,https://www.doenet.org/portfolioeditor/_a1Pu3i0AnEF0UxaNMIAou,"8b, 8h",_a1Pu3i0AnEF0UxaNMIAou,,,,22. BA-Lines - Write equation in any form given parallel line and through-pt,,,,,_aMxtIvTHmR1msAfFGXsJk,_gTMKPJY2lEMqtuD7nxooF,https://www.doenet.org/courseactivityeditor/_gTMKPJY2lEMqtuD7nxooF/_aMxtIvTHmR1msAfFGXsJk
#N/A,,,,,,,BA-Seq,,,,,_gUCDUGcYoMypenc7ISrXe,,https://www.doenet.org/courseactivityeditor//_gUCDUGcYoMypenc7ISrXe
Arithmetic,https://www.doenet.org/portfolioeditor/_v1TFN58BKCUNvjnIlncX4,18b,_v1TFN58BKCUNvjnIlncX4,,,,1. BA-Seq - Given recursive formula for arithmetic sequence determine explicit formula,,,,,_gHx5wTEmtVySOb7MDZX6f,_gUCDUGcYoMypenc7ISrXe,https://www.doenet.org/courseactivityeditor/_gUCDUGcYoMypenc7ISrXe/_gHx5wTEmtVySOb7MDZX6f
Geometric,https://www.doenet.org/portfolioeditor/_XFvjEvCvLcl5nBiuMsil1,18e,_XFvjEvCvLcl5nBiuMsil1,,,,"2: BA-Seq - Given 2 points of geometric sequence, find explicit formula",,,,,_JbXobxcfD4k4NoaJXKRr7,_gUCDUGcYoMypenc7ISrXe,https://www.doenet.org/courseactivityeditor/_gUCDUGcYoMypenc7ISrXe/_JbXobxcfD4k4NoaJXKRr7
Arithmetic,https://www.doenet.org/portfolioeditor/_68bARSWKVYM1DXSHIFFwe,18b,_68bARSWKVYM1DXSHIFFwe,,,,"3: BA-Seq - Given 2 points of arithmetic sequence; find d, explicit formula, and a_n",,,,,_S82rb7wO4mbw0YnCpgxWj,_gUCDUGcYoMypenc7ISrXe,https://www.doenet.org/courseactivityeditor/_gUCDUGcYoMypenc7ISrXe/_S82rb7wO4mbw0YnCpgxWj
Arithmetic,https://www.doenet.org/portfolioeditor/_HyERfcT766eEFH44x664O,18b,_HyERfcT766eEFH44x664O,,,,4. BA-Seq: Multiple choice; determine explicit formula for arithmetic sequence,,,,,_r4Bzf5OLTyT8YqxL4cy9y,_gUCDUGcYoMypenc7ISrXe,https://www.doenet.org/courseactivityeditor/_gUCDUGcYoMypenc7ISrXe/_r4Bzf5OLTyT8YqxL4cy9y
Summation formulas,https://www.doenet.org/portfolioeditor/_3krok8ReIpyEapWs7vY91,18d,_3krok8ReIpyEapWs7vY91,,,,6. BA-Seq: Multiple choice; find the sum of an arithmetic sequence,,,,,_UgKCYGdGhIYTpUwv1Rlpz,_gUCDUGcYoMypenc7ISrXe,https://www.doenet.org/courseactivityeditor/_gUCDUGcYoMypenc7ISrXe/_UgKCYGdGhIYTpUwv1Rlpz
Arithmetic,https://www.doenet.org/portfolioeditor/_Eag7b8pGPy3KW8cAquE5q,"18b, 18d",_Eag7b8pGPy3KW8cAquE5q,,,,8: BA-Seq: Arithmetic sequence riddle; ages of children in a family,,,,,_WYAIuwJf6cTcly0cHBeAI,_gUCDUGcYoMypenc7ISrXe,https://www.doenet.org/courseactivityeditor/_gUCDUGcYoMypenc7ISrXe/_WYAIuwJf6cTcly0cHBeAI
#N/A,,,,,,,BA-ExpLog,,,,,_mwdLZusUu441L1srRmuZZ,,https://www.doenet.org/courseactivityeditor//_mwdLZusUu441L1srRmuZZ
#N/A,,,,,,,1. BA-ExpLog: Evaluate base-10 logarithms,,,,,_BVED1SyI4JQee5KnxdxOu,_mwdLZusUu441L1srRmuZZ,https://www.doenet.org/courseactivityeditor/_mwdLZusUu441L1srRmuZZ/_BVED1SyI4JQee5KnxdxOu
